Datetime,Position,Close,PnL,Short,Long,Capital,,Backtest,,
2022-02-15 19:30:00+00:00,Short,14591.45313,2.109375,0,2.109375,17317.74816,,2022,5406.253906,-5130.693359
2022-02-17 19:30:00+00:00,Long,14205.6582,385.7949219,385.7949219,0,17703.54309,,2021,40.3671875,178.4208984
2022-02-25 17:30:00+00:00,Short,14112.1875,-93.47070313,0,-93.47070313,17610.07238,,Total PnL,1920.939453,2634.177734
2022-03-04 14:30:00+00:00,Long,13831.83008,280.3574219,280.3574219,0,17890.4298,,,,
2022-03-09 19:30:00+00:00,Short,13772.06641,-59.76367188,0,-59.76367188,17830.66613,,,,
2022-03-11 16:30:00+00:00,Long,13426.25488,345.8115234,345.8115234,0,18176.47766,,,,
2022-03-16 13:30:00+00:00,Short,13827.94238,401.6875,0,401.6875,18578.16516,,,,
2022-03-31 18:30:00+00:00,Long,14982.44434,-1154.501953,-1154.501953,0,17423.6632,,,,
2022-04-04 19:30:00+00:00,Short,15161.01953,178.5751953,0,178.5751953,17602.2384,,,,
2022-04-06 13:30:00+00:00,Long,14463.42773,697.5917969,697.5917969,0,18299.8302,,,,
2022-04-19 19:30:00+00:00,Short,14214.79004,-248.6376953,0,-248.6376953,18051.1925,,,,
2022-04-21 17:30:00+00:00,Long,13805.31934,409.4707031,409.4707031,0,18460.6632,,,,
2022-04-28 18:30:00+00:00,Short,13506.88184,-298.4375,0,-298.4375,18162.2257,,,,
2022-05-02 16:30:00+00:00,Long,12796.43555,710.4462891,710.4462891,0,18872.67199,,,,
2022-05-04 17:30:00+00:00,Short,13130.52051,334.0849609,0,334.0849609,19206.75695,,,,
2022-05-06 18:30:00+00:00,Long,12616.10938,514.4111328,514.4111328,0,19721.16809,,,,
2022-05-13 16:30:00+00:00,Short,12361.11035,-254.9990234,0,-254.9990234,19466.16906,,,,
2022-05-18 17:30:00+00:00,Long,11991.98535,369.125,369.125,0,19835.29406,,,,
2022-05-26 13:30:00+00:00,Short,12154.82324,162.8378906,0,162.8378906,19998.13195,,,,
2022-06-01 15:30:00+00:00,Long,12487.19434,-332.3710938,-332.3710938,0,19665.76086,,,,
2022-06-06 13:30:00+00:00,Short,12782.03809,294.84375,0,294.84375,19960.60461,,,,
2022-06-06 19:30:00+00:00,Long,12599.66504,182.3730469,182.3730469,0,20142.97766,,,,
2022-06-08 15:30:00+00:00,Short,12684.61816,84.953125,0,84.953125,20227.93078,,,,
2022-06-09 17:30:00+00:00,Long,12505.57813,179.0400391,179.0400391,0,20406.97082,,,,
2022-06-15 18:30:00+00:00,Short,11696.25879,-809.3193359,0,-809.3193359,19597.65148,,,,
2022-06-17 18:30:00+00:00,Long,11312.19531,384.0634766,384.0634766,0,19981.71496,,,,
2022-06-21 13:30:00+00:00,Short,11597.34375,285.1484375,0,285.1484375,20266.8634,,,,
2022-06-28 18:30:00+00:00,Long,11676.59277,-79.24902344,-79.24902344,0,20187.61438,,,,
2022-07-05 13:30:00+00:00,Short,11471.6709,-204.921875,0,-204.921875,19982.6925,,,,
2022-07-11 18:30:00+00:00,Long,11870.53613,-398.8652344,-398.8652344,0,19583.82727,,,,
2022-07-15 13:30:00+00:00,Short,11940.88574,70.34960938,0,70.34960938,19654.17688,,,,
2022-07-25 15:30:00+00:00,Long,12330.79297,-389.9072266,-389.9072266,0,19264.26965,,,,
2022-07-27 18:30:00+00:00,Short,12651.21191,320.4189453,0,320.4189453,19584.68859,,,,
2022-08-09 16:30:00+00:00,Long,12986.39355,-335.1816406,-335.1816406,0,19249.50695,,,,
2022-08-11 13:30:00+00:00,Short,13505.89355,519.5,0,519.5,19769.00695,,,,
2022-08-17 15:30:00+00:00,Long,13444.18945,61.70410156,61.70410156,0,19830.71105,,,,
2022-08-25 17:30:00+00:00,Short,13071.0332,-373.15625,0,-373.15625,19457.5548,,,,
2022-08-29 13:30:00+00:00,Long,12559.50098,511.5322266,511.5322266,0,19969.08703,,,,
2022-09-07 18:30:00+00:00,Short,12295.56348,-263.9375,0,-263.9375,19705.14953,,,,
2022-09-13 13:30:00+00:00,Long,12295.5,0.063476563,0.063476563,0,19705.21301,,,,
2022-09-28 15:30:00+00:00,Short,11403.86426,-891.6357422,0,-891.6357422,18813.57727,,,,
2022-09-30 18:30:00+00:00,Long,11068.56055,335.3037109,335.3037109,0,19148.88098,,,,
2022-10-04 13:30:00+00:00,Short,11566.15234,497.5917969,0,497.5917969,19646.47277,,,,
2022-10-07 15:30:00+00:00,Long,11094.03418,472.1181641,472.1181641,0,20118.59094,,,,
2022-10-17 13:30:00+00:00,Short,11037.0752,-56.95898438,0,-56.95898438,20061.63195,,,,
2022-10-20 16:30:00+00:00,Long,11103.94824,-66.87304688,-66.87304688,0,19994.75891,,,,
2022-10-21 18:30:00+00:00,Short,11317.44824,213.5,0,213.5,20208.25891,,,,
2022-11-02 15:30:00+00:00,Long,11163.44434,154.0039063,154.0039063,0,20362.26281,,,,
2022-11-07 19:30:00+00:00,Short,10988.07715,-175.3671875,0,-175.3671875,20186.89563,,,,
2022-11-17 14:30:00+00:00,Long,11628.58496,-640.5078125,-640.5078125,0,19546.38781,,,,
2022-11-23 14:30:00+00:00,Short,11834.44336,205.8583984,0,205.8583984,19752.24621,,,,
2022-11-28 18:30:00+00:00,Long,11580.75977,253.6835938,253.6835938,0,20005.9298,,,,
2022-11-30 18:30:00+00:00,Short,11890.16602,309.40625,0,309.40625,20315.33605,,,,
2022-12-05 18:30:00+00:00,Long,11761.70898,128.4570313,128.4570313,0,20443.79309,,,,
2022-12-08 19:30:00+00:00,Short,11648.93262,-112.7763672,0,-112.7763672,20331.01672,,,,
2022-12-12 14:30:00+00:00,Long,11569.80957,79.12304688,79.12304688,0,20410.13977,,,,
2022-12-13 14:30:00+00:00,Short,11985.34863,415.5390625,0,415.5390625,20825.67883,,,,
2022-12-15 14:30:00+00:00,Long,11439.72461,545.6240234,545.6240234,0,21371.30285,,,,
2022-12-21 18:30:00+00:00,Short,11259.07227,-180.6523438,0,-180.6523438,21190.65051,,,,
2022-12-23 15:30:00+00:00,Long,10924.58398,334.4882813,334.4882813,0,21525.13879,,,,
2022-12-27 17:30:00+00:00,Short,10852.52441,-72.05957031,0,-72.05957031,21453.07922,,,,
2022-12-28 16:30:00+00:00,Long,10706.18262,146.3417969,146.3417969,0,21599.42102,,,,
2022-12-30 19:30:00+00:00,Short,10859.8584,153.6757813,0,153.6757813,21753.0968,,,,
2023-01-18 20:30:00+00:00,Long,11410.36621,-550.5078125,-550.5078125,0,21202.58898,,,,
2023-01-23 14:30:00+00:00,Short,11788.91309,378.546875,0,378.546875,21581.13586,,,,
2023-01-25 14:30:00+00:00,Long,11589.43945,199.4736328,199.4736328,0,21780.60949,,,,
2023-01-27 14:30:00+00:00,Short,12110.62598,521.1865234,0,521.1865234,22301.79602,,,,
2023-01-30 19:30:00+00:00,Long,11919.81738,190.8085938,190.8085938,0,22492.60461,,,,
2023-02-01 19:30:00+00:00,Short,12377.14746,457.3300781,0,457.3300781,22949.93469,,,,
2023-02-06 14:30:00+00:00,Long,12439.36035,-62.21289063,-62.21289063,0,22887.7218,,,,
2023-02-13 19:30:00+00:00,Short,12483.29102,43.93066406,0,43.93066406,22931.65246,,,,
2023-02-17 15:30:00+00:00,Long,12258.93652,224.3544922,224.3544922,0,23156.00695,,,,
2023-02-28 14:30:00+00:00,Short,12044.77051,-214.1660156,0,-214.1660156,22941.84094,,,,
2023-03-01 14:30:00+00:00,Long,11953.14453,91.62597656,91.62597656,0,23033.46691,,,,
2023-03-03 14:30:00+00:00,Short,12203.11133,249.9667969,0,249.9667969,23283.43371,,,,
2023-03-07 18:30:00+00:00,Long,12158.75391,44.35742188,44.35742188,0,23327.79113,,,,
2023-03-16 17:30:00+00:00,Short,12532.37207,373.6181641,0,373.6181641,23701.4093,,,,
2023-04-04 18:30:00+00:00,Long,13066.04199,-533.6699219,-533.6699219,0,23167.73938,,,,
2023-04-12 13:30:00+00:00,Short,13011.01855,-55.0234375,0,-55.0234375,23112.71594,,,,
2023-04-20 18:30:00+00:00,Long,12936.39063,74.62792969,74.62792969,0,23187.34387,,,,
2023-04-27 19:30:00+00:00,Short,13157.56738,221.1767578,0,221.1767578,23408.52063,,,,
2023-05-02 17:30:00+00:00,Long,13107.33887,50.22851563,50.22851563,0,23458.74914,,,,
2023-05-05 18:30:00+00:00,Short,13274.72266,167.3837891,0,167.3837891,23626.13293,,,,
2023-05-12 18:30:00+00:00,Long,13301.53516,-26.8125,-26.8125,0,23599.32043,,,,
2023-05-15 16:30:00+00:00,Short,13396.11621,94.58105469,0,94.58105469,23693.90148,,,,
2023-05-23 16:30:00+00:00,Long,13738.375,-342.2587891,-342.2587891,0,23351.6427,,,,
2023-05-26 13:30:00+00:00,Short,14163.96191,425.5869141,0,425.5869141,23777.22961,,,,
2023-06-07 15:30:00+00:00,Long,14363.07227,-199.1103516,-199.1103516,0,23578.11926,,,,
2023-06-12 19:30:00+00:00,Short,14785.23828,422.1660156,0,422.1660156,24000.28527,,,,
2023-06-20 18:30:00+00:00,Long,15069.52246,-284.2841797,-284.2841797,0,23716.00109,,,,
2023-06-27 17:30:00+00:00,Short,14956.1123,-113.4101563,0,-113.4101563,23602.59094,,,,
2023-07-06 13:30:00+00:00,Long,15020.19238,-64.08007813,-64.08007813,0,23538.51086,,,,
2023-07-10 13:30:00+00:00,Short,15034.44141,14.24902344,0,14.24902344,23552.75988,,,,
2023-07-20 19:30:00+00:00,Long,15469.7666,-435.3251953,-435.3251953,0,23117.43469,,,,
2023-07-31 17:30:00+00:00,Short,15731.96777,262.2011719,0,262.2011719,23379.63586,,,,
2023-08-02 13:30:00+00:00,Long,15456.99219,274.9755859,274.9755859,0,23654.61145,,,,
2023-08-10 13:30:00+00:00,Short,15324.80469,-132.1875,0,-132.1875,23522.42395,,,,
2023-08-14 13:30:00+00:00,Long,15078.3291,246.4755859,246.4755859,0,23768.89953,,,,
2023-08-21 19:30:00+00:00,Short,14936.77832,-141.5507813,0,-141.5507813,23627.34875,,,,
2023-08-25 13:30:00+00:00,Long,14852.20313,84.57519531,84.57519531,0,23711.92395,,,,
2023-08-28 19:30:00+00:00,Short,15054.44727,202.2441406,0,202.2441406,23914.16809,,,,
2023-09-06 13:30:00+00:00,Long,15366.05371,-311.6064453,-311.6064453,0,23602.56164,,,,
2023-09-11 13:30:00+00:00,Short,15365.47266,-0.581054688,0,-0.581054688,23601.98059,,,,
2023-09-15 16:30:00+00:00,Long,15194.5,170.9726563,170.9726563,0,23772.95324,,,,
2023-09-28 18:30:00+00:00,Short,14753.78223,-440.7177734,0,-440.7177734,23332.23547,,,,
2023-10-02 15:30:00+00:00,Long,14762.6875,-8.905273438,-8.905273438,0,23323.3302,,,,
2023-10-05 17:30:00+00:00,Short,14724.72266,-37.96484375,0,-37.96484375,23285.36535,,,,
2023-10-13 14:30:00+00:00,Long,15035.22266,-310.5,-310.5,0,22974.86535,,,,
2023-10-17 14:30:00+00:00,Short,15116.27148,81.04882813,0,81.04882813,23055.91418,,,,
2023-10-18 18:30:00+00:00,Long,14910.18164,206.0898438,206.0898438,0,23262.00402,,,,
2023-10-31 16:30:00+00:00,Short,14350.26855,-559.9130859,0,-559.9130859,22702.09094,,,,
2023-11-09 18:30:00+00:00,Long,15247.10938,-896.8408203,-896.8408203,0,21805.25012,,,,
2023-11-10 18:30:00+00:00,Short,15502.50586,255.3964844,0,255.3964844,22060.6466,,,,
2023-12-20 20:30:00+00:00,Long,16555.1875,-1052.681641,-1052.681641,0,21007.96496,,,,
2023-12-22 19:30:00+00:00,Short,16789.73047,234.5429688,0,234.5429688,21242.50793,,,,
2023-12-29 15:30:00+00:00,Long,16758.26953,31.4609375,31.4609375,0,21273.96887,,,,
2024-01-08 18:30:00+00:00,Short,16597.15039,-161.1191406,0,-161.1191406,21112.84973,,,,
2024-01-16 18:30:00+00:00,Long,16757.03125,-159.8808594,-159.8808594,0,20952.96887,,,,
2024-01-19 14:30:00+00:00,Short,17089.60156,332.5703125,0,332.5703125,21285.53918,,,,
2024-01-26 14:30:00+00:00,Long,17466.57227,-376.9707031,-376.9707031,0,20908.56848,,,,
2024-01-29 19:30:00+00:00,Short,17592.26172,125.6894531,0,125.6894531,21034.25793,,,,
2024-01-31 19:30:00+00:00,Long,17195.19141,397.0703125,397.0703125,0,21431.32824,,,,
2024-02-02 19:30:00+00:00,Short,17671.61523,476.4238281,0,476.4238281,21907.75207,,,,
2024-02-13 14:30:00+00:00,Long,17665.53906,6.076171875,6.076171875,0,21913.82824,,,,
2024-02-15 14:30:00+00:00,Short,17756.03516,90.49609375,0,90.49609375,22004.32434,,,,
2024-02-20 16:30:00+00:00,Long,17416.30469,339.7304688,339.7304688,0,22344.0548,,,,
2024-02-22 14:30:00+00:00,Short,17902.21094,485.90625,0,485.90625,22829.96105,,,,
2024-03-05 15:30:00+00:00,Long,17926.89063,-24.6796875,-24.6796875,0,22805.28137,,,,
2024-03-07 15:30:00+00:00,Short,18267.60547,340.7148438,0,340.7148438,23145.99621,,,,
2024-03-14 18:30:00+00:00,Long,17943.6875,323.9179688,323.9179688,0,23469.91418,,,,
2024-03-21 13:30:00+00:00,Short,18420.41016,476.7226563,0,476.7226563,23946.63684,,,,
2024-03-25 13:30:00+00:00,Long,18280.67969,139.7304688,139.7304688,0,24086.3673,,,,
2024-04-04 16:30:00+00:00,Short,18338.4375,57.7578125,0,57.7578125,24144.12512,,,,
2024-04-04 18:30:00+00:00,Long,17915.78516,422.6523438,422.6523438,0,24566.77746,,,,
2024-04-08 18:30:00+00:00,Short,18119.55078,203.765625,0,203.765625,24770.54309,,,,
2024-04-10 17:30:00+00:00,Long,17961.80078,157.75,157.75,0,24928.29309,,,,
2024-04-22 17:30:00+00:00,Short,17286.2793,-675.5214844,0,-675.5214844,24252.7716,,,,
2024-04-30 16:30:00+00:00,Long,17578.48047,-292.2011719,-292.2011719,0,23960.57043,,,,
2024-05-03 13:30:00+00:00,Short,17834.09766,255.6171875,0,255.6171875,24216.18762,,,,
2024-05-23 17:30:00+00:00,Long,18612.48047,-778.3828125,-778.3828125,0,23437.8048,,,,
2024-06-04 17:30:00+00:00,Short,18681.20898,68.72851563,0,68.72851563,23506.53332,,,,
2024-06-14 13:30:00+00:00,Long,19606.37305,-925.1640625,-925.1640625,0,22581.36926,,,,
2024-06-18 13:30:00+00:00,Short,19895.34766,288.9746094,0,288.9746094,22870.34387,,,,
2024-07-01 18:30:00+00:00,Long,19765.52734,129.8203125,129.8203125,0,23000.16418,,,,
2024-07-03 13:30:00+00:00,Short,20026.2207,260.6933594,0,260.6933594,23260.85754,,,,
2024-07-18 15:30:00+00:00,Long,19644.95313,381.2675781,381.2675781,0,23642.12512,,,,
2024-07-31 13:30:00+00:00,Short,19286.71484,-358.2382813,0,-358.2382813,23283.88684,,,,
2024-08-02 13:30:00+00:00,Long,18373.39258,913.3222656,913.3222656,0,24197.2091,,,,
2024-08-07 13:30:00+00:00,Short,18328.88477,-44.5078125,0,-44.5078125,24152.70129,,,,
2024-08-28 14:30:00+00:00,Long,19319.85547,-990.9707031,-990.9707031,0,23161.73059,,,,
2024-09-10 19:30:00+00:00,Short,18835.69727,-484.1582031,0,-484.1582031,22677.57238,,,,
